index,title,cast,director,keywords,genres,soup
0,Toy Story,"['tomhanks', 'timallen', 'donrickles']",johnlasseter,"['jealousy', 'toy', 'boy']","['animation', 'comedy', 'family']","['jealousy', 'toy', 'boy', 'tomhanks', 'timallen', 'donrickles', 'johnlasseter', 'animation', 'comedy', 'family']"
1,Jumanji,"['robinwilliams', 'jonathanhyde', 'kirstendunst']",joejohnston,"['boardgame', 'disappearance', ""basedonchildren'sbook""]","['adventure', 'fantasy', 'family']","['boardgame', 'disappearance', ""basedonchildren'sbook"", 'robinwilliams', 'jonathanhyde', 'kirstendunst', 'joejohnston', 'adventure', 'fantasy', 'family']"
2,Grumpier Old Men,"['waltermatthau', 'jacklemmon', 'ann-margret']",howarddeutch,"['fishing', 'bestfriend', 'duringcreditsstinger']","['romance', 'comedy']","['fishing', 'bestfriend', 'duringcreditsstinger', 'waltermatthau', 'jacklemmon', 'ann-margret', 'howarddeutch', 'romance', 'comedy']"
3,Waiting to Exhale,"['whitneyhouston', 'angelabassett', 'lorettadevine']",forestwhitaker,"['basedonnovel', 'interracialrelationship', 'singlemother']","['comedy', 'drama', 'romance']","['basedonnovel', 'interracialrelationship', 'singlemother', 'whitneyhouston', 'angelabassett', 'lorettadevine', 'forestwhitaker', 'comedy', 'drama', 'romance']"
4,Father of the Bride Part II,"['stevemartin', 'dianekeaton', 'martinshort']",charlesshyer,"['baby', 'midlifecrisis', 'confidence']",['comedy'],"['baby', 'midlifecrisis', 'confidence', 'stevemartin', 'dianekeaton', 'martinshort', 'charlesshyer', 'comedy']"
5,Heat,"['alpacino', 'robertdeniro', 'valkilmer']",michaelmann,"['robbery', 'detective', 'bank']","['action', 'crime', 'drama']","['robbery', 'detective', 'bank', 'alpacino', 'robertdeniro', 'valkilmer', 'michaelmann', 'action', 'crime', 'drama']"
6,Sabrina,"['harrisonford', 'juliaormond', 'gregkinnear']",sydneypollack,"['paris', 'brotherbrotherrelationship', 'chauffeur']","['comedy', 'romance']","['paris', 'brotherbrotherrelationship', 'chauffeur', 'harrisonford', 'juliaormond', 'gregkinnear', 'sydneypollack', 'comedy', 'romance']"
7,Tom and Huck,"['jonathantaylorthomas', 'bradrenfro', 'rachaelleighcook']",peterhewitt,[],"['action', 'adventure', 'drama']","['jonathantaylorthomas', 'bradrenfro', 'rachaelleighcook', 'peterhewitt', 'action', 'adventure', 'drama']"
8,Sudden Death,"['jean-claudevandamme', 'powersboothe', 'dorianharewood']",peterhyams,"['terrorist', 'hostage', 'explosive']","['action', 'adventure', 'thriller']","['terrorist', 'hostage', 'explosive', 'jean-claudevandamme', 'powersboothe', 'dorianharewood', 'peterhyams', 'action', 'adventure', 'thriller']"
9,GoldenEye,"['piercebrosnan', 'seanbean', 'izabellascorupco']",martincampbell,"['cuba', 'falselyaccused', 'secretidentity']","['adventure', 'action', 'thriller']","['cuba', 'falselyaccused', 'secretidentity', 'piercebrosnan', 'seanbean', 'izabellascorupco', 'martincampbell', 'adventure', 'action', 'thriller']"
10,The American President,"['michaeldouglas', 'annettebening', 'michaelj.fox']",robreiner,"['whitehouse', 'usapresident', 'newlove']","['comedy', 'drama', 'romance']","['whitehouse', 'usapresident', 'newlove', 'michaeldouglas', 'annettebening', 'michaelj.fox', 'robreiner', 'comedy', 'drama', 'romance']"
11,Dracula: Dead and Loving It,"['leslienielsen', 'melbrooks', 'amyyasbeck']",melbrooks,"['dracula', 'spoof']","['comedy', 'horror']","['dracula', 'spoof', 'leslienielsen', 'melbrooks', 'amyyasbeck', 'melbrooks', 'comedy', 'horror']"
12,Balto,"['kevinbacon', 'bobhoskins', 'bridgetfonda']",simonwells,"['wolf', 'dog-sleddingrace', 'alaska']","['family', 'animation', 'adventure']","['wolf', 'dog-sleddingrace', 'alaska', 'kevinbacon', 'bobhoskins', 'bridgetfonda', 'simonwells', 'family', 'animation', 'adventure']"
13,Nixon,"['anthonyhopkins', 'joanallen', 'powersboothe']",oliverstone,"['usapresident', 'presidentialelection', 'watergatescandal']","['history', 'drama']","['usapresident', 'presidentialelection', 'watergatescandal', 'anthonyhopkins', 'joanallen', 'powersboothe', 'oliverstone', 'history', 'drama']"
14,Cutthroat Island,"['geenadavis', 'matthewmodine', 'franklangella']",rennyharlin,"['exoticisland', 'treasure', 'map']","['action', 'adventure']","['exoticisland', 'treasure', 'map', 'geenadavis', 'matthewmodine', 'franklangella', 'rennyharlin', 'action', 'adventure']"
15,Casino,"['robertdeniro', 'sharonstone', 'joepesci']",martinscorsese,"['poker', 'drugabuse', '1970s']","['drama', 'crime']","['poker', 'drugabuse', '1970s', 'robertdeniro', 'sharonstone', 'joepesci', 'martinscorsese', 'drama', 'crime']"
16,Sense and Sensibility,"['katewinslet', 'emmathompson', 'hughgrant']",anglee,"['bowling', 'basedonnovel', 'servant']","['drama', 'romance']","['bowling', 'basedonnovel', 'servant', 'katewinslet', 'emmathompson', 'hughgrant', 'anglee', 'drama', 'romance']"
17,Four Rooms,"['timroth', 'antoniobanderas', 'jenniferbeals']",allisonanders,"['hotel', ""newyear'seve"", 'witch']","['crime', 'comedy']","['hotel', ""newyear'seve"", 'witch', 'timroth', 'antoniobanderas', 'jenniferbeals', 'allisonanders', 'crime', 'comedy']"
18,Ace Ventura: When Nature Calls,"['jimcarrey', 'ianmcneice', 'simoncallow']",steveoedekerk,"['africa', 'indigenous', 'humananimalrelationship']","['crime', 'comedy', 'adventure']","['africa', 'indigenous', 'humananimalrelationship', 'jimcarrey', 'ianmcneice', 'simoncallow', 'steveoedekerk', 'crime', 'comedy', 'adventure']"
19,Money Train,"['wesleysnipes', 'woodyharrelson', 'jenniferlopez']",josephruben,"['brotherbrotherrelationship', 'subway', 'newyorkcity']","['action', 'comedy', 'crime']","['brotherbrotherrelationship', 'subway', 'newyorkcity', 'wesleysnipes', 'woodyharrelson', 'jenniferlopez', 'josephruben', 'action', 'comedy', 'crime']"
20,Get Shorty,"['johntravolta', 'genehackman', 'renerusso']",barrysonnenfeld,"['gambling', 'miami', 'basedonnovel']","['comedy', 'thriller', 'crime']","['gambling', 'miami', 'basedonnovel', 'johntravolta', 'genehackman', 'renerusso', 'barrysonnenfeld', 'comedy', 'thriller', 'crime']"
21,Copycat,"['sigourneyweaver', 'hollyhunter', 'willpatton']",jonamiel,"['policebrutality', 'psychology', 'policeoperation']","['drama', 'thriller']","['policebrutality', 'psychology', 'policeoperation', 'sigourneyweaver', 'hollyhunter', 'willpatton', 'jonamiel', 'drama', 'thriller']"
22,Assassins,"['sylvesterstallone', 'antoniobanderas', 'juliannemoore']",richarddonner,"['competition', 'assassination', 'cia']","['action', 'adventure', 'crime']","['competition', 'assassination', 'cia', 'sylvesterstallone', 'antoniobanderas', 'juliannemoore', 'richarddonner', 'action', 'adventure', 'crime']"
23,Powder,"['marysteenburgen', 'seanpatrickflanery', 'lancehenriksen']",victorsalva,"['deadanimal', 'shottodeath', 'teenageboy']","['drama', 'fantasy', 'sciencefiction']","['deadanimal', 'shottodeath', 'teenageboy', 'marysteenburgen', 'seanpatrickflanery', 'lancehenriksen', 'victorsalva', 'drama', 'fantasy', 'sciencefiction']"
